label,pca_x,pca_y,tsne_x,tsne_y
0,-117.37499237,71.40328217,-31.02512932,-1.26079977
0,-118.10025787,70.35591888,-30.09902573,-1.68075705
0,43.21285248,196.14956665,-6.41829252,12.19430256
0,137.44889832,282.42352295,2.15832949,-33.73222733
0,118.58904266,263.27246094,-0.51662487,-34.56259537
0,64.05181885,215.65234375,-3.09871101,-34.90821457
1,-57.15562439,-7.73665428,-13.07241917,20.73645020
1,-44.00870895,1.31987739,2.38335848,-5.86754847
1,-55.33693314,8.15470600,3.17893505,-10.52354717
1,-54.35179520,11.33396053,3.20443797,-10.57314777
0,-44.65467072,-42.75812531,-17.56481934,25.05200386
0,-10.44153118,-48.41030502,8.34598160,7.79684830
0,-25.72290611,-45.99244690,9.66151714,2.40122795
0,-52.38365173,-42.38201141,9.93803787,1.74808788
0,55.11803818,23.29533577,-11.76946354,35.43791580
0,145.19845581,45.50037766,36.00480270,4.02179623
0,131.25509644,41.65199280,34.17361450,-3.53402853
0,87.14275360,39.04045105,29.55915451,-4.49273252
1,-8.32462215,-71.31620026,-16.20189095,29.01478004
1,57.39606094,-87.58806610,20.38359451,11.76109791
1,65.27389526,-91.05625153,20.84927940,9.25369740
1,66.15108490,-91.13928986,20.64246559,11.59880543
0,-33.60328674,18.54033852,-4.79078484,21.94954872
0,-20.75639534,29.45058441,5.37087011,-11.66507721
0,-15.74366856,42.39763260,4.01735640,-16.94284248
0,-35.91231155,41.76979446,-16.54380417,-24.95218468
0,-93.35137939,43.37953186,-17.67952347,14.50592518
0,-50.87458038,64.84156036,-9.04731178,-11.17629051
0,-38.36149216,65.55479431,-9.93221378,-10.60692692
0,-34.46223831,67.25186157,-8.80801296,-11.63428974
1,23.96074295,-37.88245773,-14.12590885,32.60671234
1,96.74514008,-45.60871506,24.85096169,4.22964239
1,80.02762604,-45.25098801,24.20228004,2.89446425
1,41.74140167,-36.41430283,23.98384857,-1.76500535
1,87.90505219,-64.24573517,-8.42273140,33.66941071
1,144.90502930,-67.10107422,31.32765961,8.82548237
1,124.56906128,-59.27025604,29.99982262,1.09268987
1,73.96497345,-47.72245789,27.00065994,-4.33748293
1,-15.99526978,16.63426018,-6.29653072,22.93346214
1,8.10724258,22.75602531,9.59333420,-19.57822227
1,9.58292389,29.70929146,7.70494938,-20.02076149
1,-17.67491531,31.18615532,-15.47538757,-26.05166245
0,-33.52202606,20.79538727,-6.94109917,21.55616570
0,-17.17639732,32.33682251,7.28602123,-15.37951469
0,-9.40975285,36.92806625,6.65953398,-17.98903465
0,-30.70944977,36.60375214,-16.14879608,-25.82585907
0,87.83691406,-8.66413975,-1.36881554,31.96599579
0,74.45458221,-1.92078006,23.90907860,-13.58715153
0,84.39404297,14.88817978,19.15239334,-22.46835327
0,55.98629761,22.62585068,-18.06477165,-30.55603218
0,-83.19842529,20.17944908,-20.63732147,7.94258976
0,-70.35099792,25.20363617,-18.37365913,3.75713229
0,-69.56616974,44.53511429,-16.50304031,-9.37848282
0,-85.91380310,45.36354065,-17.56218719,-21.42288017
0,6.38973188,104.23395538,-2.36062121,17.10925865
0,47.13033676,137.91204834,-1.56250894,-21.86912537
0,26.14009285,134.56790161,-4.40693188,-23.18668556
0,-16.01346779,103.23809814,-9.17034340,-23.61317444
0,-136.13934326,14.43166161,-24.64293480,8.81362343
0,-124.41661072,14.23809433,-23.91374207,6.14834929
0,-125.33027649,12.60657692,-24.74951935,6.95846796
0,-124.65408325,13.50015831,-24.05907440,6.88134289
